us_since_last_measurement,us_latency1,us_latency2
11600000,9020,483
11710000,3350,3660
11772000,1690,679
10407000,1830,682
9510000,536,352
10788000,1650,710
10317000,614,538
11269000,1220,663
8314000,523,394
8594000,553,521
10991000,1600,945
10293000,1770,725
11889000,1410,662
8890000,442,436
10034000,410,410
8896000,676,503
8936000,544,387
8416000,493,707
9717000,545,585
10564000,1530,498
8243000,419,401
8278000,431,384
11836000,1810,1950
8770000,680,458
8495000,517,533
9923000,453,475
10797000,26600,15800
8575000,512,984
8526000,548,418
11115000,1610,737
9346000,537,413
8225000,546,513
9358000,529,537
9265000,628,355
8894000,488,418
11839000,1480,743
10315000,1460,684
9600000,509,391
9469000,532,360
8211000,469,404
8686000,523,521
8451000,484,394
11367000,1740,820
10150000,533,398
8420000,787,505
10183000,507,386
8595000,640,457
10660000,1270,513
10626000,1560,678
9654000,515,441
11966000,1680,762
11586000,3610,718
10377000,511,444
9622000,566,445
8084000,628,341
9765000,514,450
10564000,1660,837
11408000,1600,812
10252000,439,313
9408000,439,329
9744000,561,418
9212000,634,546
10685000,1670,693
8167000,434,437
8885000,581,439
8441000,497,401
11507000,1640,757
9841000,671,533
10551000,1450,632
8341000,464,418
8677000,507,501
9299000,636,428
11284000,1260,697
8831000,459,357
8958000,474,456
10989000,1770,744
8205000,484,402
8138000,500,418
10412000,1580,869
11985000,1720,719
8173000,531,484
9522000,427,365
11279000,1760,934
10854000,1600,638
10555000,1730,735
10933000,1530,779
9114000,468,515
10645000,1250,689
9869000,660,500
10275000,507,788
8023000,619,472
10272000,665,499
11050000,1330,791
10601000,1260,580
10495000,1650,737
9668000,635,371
8816000,529,535
10190000,494,431
11556000,1640,769
11237000,1210,652
8749000,718,486
11722000,1330,632
8471000,626,436
10407000,473,442
11510000,1480,776
9323000,474,384
11104000,1650,698
10653000,1630,714
8556000,468,367
8598000,427,389
9255000,642,478
9620000,536,418
8824000,525,467
8939000,450,372
11998000,1180,573
9382000,557,353
11017000,1800,799
10211000,1620,766
8840000,527,418
10489000,1280,694
10964000,3750,652
8526000,625,488
9032000,535,446
11765000,1730,660
10306000,578,350
11900000,1540,609
11551000,2230,716
11256000,1760,736
10989000,1590,706
10629000,1470,665
10113000,607,453
10939000,1740,751
10813000,1650,687
9545000,493,395
10061000,416,330
8517000,483,311
11030000,1790,606
11150000,1630,718
9610000,658,352
8480000,546,305
8538000,653,337
9757000,438,366
8785000,437,290
11397000,1960,719
9164000,655,521
11266000,1620,999
11953000,1840,950
10813000,1630,698
11891000,1690,687
9311000,459,567
10750000,1240,737
11043000,1710,730
10111000,458,387
9045000,557,410
9729000,500,373
8065000,598,441
11235000,1440,835
10119000,1310,592
9099000,512,474
8966000,905,357
10350000,1700,755
11975000,1240,913
9983000,430,312
11263000,1320,689
10648000,1710,767
9087000,827,671
8907000,904,463
11702000,1850,675
8262000,890,502
8528000,560,580
8572000,562,402
9793000,413,471
9815000,622,546
11048000,2140,731
9528000,638,549
9081000,380,479
10105000,1260,1120
11710000,1220,510
8457000,1020,661
10333000,1830,867
11982000,1820,1330
10356000,2070,1030
10198000,1560,936
10846000,2830,953
10561000,1530,663
10857000,1930,777
9475000,820,585
8066000,540,368
11264000,1870,601
9018000,1010,439
11335000,1830,943
10094000,1470,640
9683000,621,573
11056000,1570,712
9766000,468,325
10674000,3570,894
9294000,560,405
9838000,795,536
10491000,1680,668
10454000,1730,1040
10370000,1520,940
9220000,1100,383
10669000,1560,1040
11793000,1800,788
9881000,461,371
8439000,414,310
8136000,529,508
9057000,514,510
8939000,815,531
8590000,565,409
11069000,1840,821
10381000,537,644
9145000,752,474
11426000,1770,690
10616000,1680,1100
10100000,604,492
11972000,1980,1020
9870000,486,566
9618000,468,388
11771000,1500,1110
10230000,1770,775
11662000,1850,977
10533000,1580,816
10721000,1830,890
10883000,1530,965
9412000,535,918
10666000,1260,770
10196000,1750,707
9700000,803,753
9157000,625,333
11325000,1990,746
9606000,587,624
8517000,476,710
10385000,2180,966
10786000,6410,883
11166000,1590,753
8489000,717,467
10001000,698,420
10304000,1680,728
8042000,454,370
8428000,484,677
9966000,1020,307
9296000,486,295
10167000,1470,799
8715000,832,347
11543000,1650,720
11274000,1680,955
11985000,1660,791
10031000,601,521
11522000,1650,714
8640000,452,481
10990000,1950,907
10158000,1730,749
11101000,1880,849
9663000,633,441
11296000,1510,916
8980000,658,435
10306000,1420,726
8448000,518,463
9203000,710,484
9981000,462,340
11540000,1540,935
11797000,1960,903
10542000,1720,1150
8288000,637,322
8708000,605,583
11480000,1900,610
11210000,1490,1010
8949000,460,569
10704000,2270,1220
10239000,887,795
10063000,763,563
11467000,1550,570
9756000,902,371
9743000,853,785
9393000,601,536
8724000,574,474
10506000,1590,887
10879000,16800,796
8703000,1140,927
10983000,1610,840
9818000,611,602
10133000,602,725
10443000,1220,1600
9659000,541,520
10197000,1580,1380
10243000,1710,1190
10686000,2220,895
8375000,372,388
11370000,1610,849
9572000,1050,470
8689000,537,417
11776000,1610,898
9446000,654,516
10915000,1420,617
9960000,944,560
10151000,719,412
11179000,1740,623
9622000,886,752
10208000,587,740
9508000,669,643
10573000,1960,1520
8867000,686,459
11442000,1900,765
9423000,577,1190
8890000,941,520
8239000,436,368
9136000,811,560
11724000,1750,772
10498000,1970,839
10304000,1350,680
11310000,1870,831
8519000,697,880
11362000,2040,882
10751000,1640,957
9406000,558,360
10232000,479,384
11673000,4390,1580
11317000,1280,830
11511000,1430,681
9518000,494,587
10874000,1700,711
11582000,1750,819
10747000,1610,759
8056000,599,444
8846000,621,367
8286000,462,434
8136000,480,321
11343000,1590,742
8558000,460,459
10917000,1720,689
8452000,473,418
10220000,1850,878
9452000,569,504
11569000,1550,642
11845000,1650,768
9177000,487,433
10169000,697,467
10494000,1240,490
9348000,417,448
9718000,511,316
11183000,1750,838
10021000,589,346
11589000,1780,704
11990000,1360,881
10049000,518,416
10458000,1390,615
9984000,661,401
9946000,459,476
11495000,1220,24400
9168000,542,571
8350000,428,408
11877000,1650,714
9885000,515,371
10728000,1480,592
11957000,1470,856
9375000,449,363
11521000,1520,653
11734000,1410,775
8193000,433,410
10184000,1190,746
11693000,1440,854
11733000,1540,738
11811000,1360,713
11064000,1640,724
9555000,506,411
11572000,1560,32700
11657000,1160,510
11933000,1200,554
8332000,599,400
8778000,657,467
9675000,477,420
8396000,457,358
8837000,510,492
8337000,593,381
11771000,1600,772
8031000,463,499
11257000,1760,722
11977000,21300,43100
8635000,647,892
8150000,452,364
8213000,629,537
8171000,655,537
9309000,587,471
11192000,1420,645
8916000,456,435
11553000,2030,868
11457000,1730,737
10355000,619,482
8882000,507,343
9237000,451,447
10437000,517,352
8624000,514,421
11793000,1380,654
10052000,430,499
11961000,1520,716
9157000,441,334
10623000,1590,792
8685000,446,371
9064000,582,414
10305000,488,417
11949000,1720,694
9366000,431,301
8797000,528,383
11035000,1530,686
11390000,1590,650
8715000,594,498
9695000,467,327
8904000,552,368
11490000,1560,668
10969000,1590,859
9953000,520,515
8702000,443,397
8864000,611,389
9211000,472,446
10881000,1540,832
8067000,390,444
8406000,562,415
11545000,1620,705
11658000,1730,585
8352000,454,369
9935000,457,422
9525000,541,385
11035000,1720,860
10541000,1740,747
11327000,1620,555
8872000,494,720
9535000,425,414
8202000,464,387
11204000,1600,727
8234000,693,516
8410000,439,417
10483000,1590,726
11119000,1720,684
11148000,1500,555
8321000,495,436
9850000,474,365
11824000,1600,970
8548000,636,479
9261000,500,346
8464000,493,522
9154000,547,435
8693000,628,525
8551000,667,492
9611000,385,356
8716000,588,363
9722000,550,550
10273000,1680,825
8906000,620,486
10519000,1360,748
9024000,490,378
9145000,581,413
8339000,424,453
11239000,1230,662
8859000,643,378
9184000,682,380
9790000,539,440
10455000,1440,625
11838000,1220,668
8480000,489,468
9060000,444,376
11188000,1540,718
11383000,1710,739
10400000,1700,617
9695000,655,518
8208000,551,518
9506000,640,463
10991000,1590,707
11809000,1380,632
9928000,448,381
8648000,657,451
9529000,673,318
11634000,1650,664
10941000,1540,570
9414000,470,433
10465000,1250,911
10942000,1260,640
11709000,1670,760
10411000,1620,650
9790000,633,537
11407000,1470,706
8400000,454,393
9138000,565,314
11613000,1750,627
10165000,537,390
11770000,1760,708
11788000,1390,565
9785000,519,394
10991000,1660,716
9072000,448,436
11473000,1530,739
8489000,684,516
9241000,499,470
10450000,33500,22600
8729000,473,830
11303000,1620,925
10853000,1540,624
8352000,617,536
10004000,990,450
8305000,559,313
11485000,1340,757
10207000,1620,943
10709000,1670,888
8346000,486,389
8908000,626,320
11955000,1610,710
9142000,499,372
11079000,1480,681
8176000,484,388
8537000,452,365
10044000,604,469
11637000,1610,684
11346000,1650,613
9745000,458,466
11854000,1630,817
10621000,1600,722
8845000,636,459
8023000,510,434
11053000,1490,758
11748000,1580,781
11200000,1460,793
8930000,412,334
9259000,482,565
8024000,499,535
9266000,474,320
10243000,1210,768
11943000,1470,679
10476000,1580,876
10129000,526,450
9399000,442,411
11645000,1760,780
8861000,441,325
11511000,1230,674
9868000,471,512
10220000,651,416
8879000,553,389
8722000,410,277
9036000,498,438
9530000,545,462
9623000,480,367
8302000,419,328
10226000,1840,949
8796000,486,396
11984000,1560,759
11031000,1510,734
10304000,450,356
9075000,517,456
11613000,81600,70100
9318000,509,995
10782000,1580,734
9342000,623,467
9885000,609,499
11151000,1240,680
10223000,490,416
11757000,1930,843
11232000,1680,811
10106000,1450,753
11014000,1760,705
8669000,544,342
11466000,1760,715
9641000,544,489
8449000,443,363
8317000,654,519
10430000,1620,718
11887000,1170,534
9705000,533,442
9194000,566,490
8275000,587,473
10051000,479,464
8533000,612,613
11260000,1490,668
11865000,1600,834
11363000,1570,640
9454000,485,337
10372000,1750,733
10741000,1610,963
10326000,490,404
9628000,741,532
8347000,626,444
8372000,469,429
11905000,2020,752
9490000,492,439
8088000,472,419
10129000,530,401
8780000,422,336
10999000,1370,593
10497000,1750,661
9110000,676,449
9026000,616,349
11204000,2580,884
10030000,547,249
9700000,683,510
10871000,1370,686
8615000,555,447
9326000,491,388
10162000,539,402
8766000,536,529
11691000,1720,797
9535000,580,477
8534000,474,406
11663000,1780,686
11548000,1650,854
11145000,1730,937
8106000,481,322
8239000,377,308
11498000,1270,624
11232000,2300,713
11909000,1630,737
10506000,1680,818
9201000,630,466
9903000,538,516
11909000,1760,824
8289000,478,366
11375000,1740,739
8594000,522,448
10267000,1630,718
9058000,643,558
8249000,478,412
9269000,612,314
11528000,1450,630
9174000,484,469
8416000,467,373
8361000,578,369
11396000,1500,610
11813000,1680,791
10796000,1730,806
11256000,1700,657
10779000,1650,702
10313000,532,345
8374000,443,463
11907000,1550,818
11475000,1750,835
8727000,427,376
10271000,1640,583
11808000,1660,806
8411000,596,516
8034000,461,326
10512000,1720,836
8201000,648,447
9036000,435,423
11967000,1630,602
11049000,1410,654
9063000,621,462
9410000,420,341
11148000,1480,857
9268000,536,453
11188000,1660,1020
9483000,528,409
11760000,1660,704
10874000,1680,772
10729000,1190,732
11206000,1490,672
9627000,470,546
9483000,571,400
8024000,541,391
10737000,1240,642
10383000,453,360
11640000,1570,713
8818000,480,390
9116000,591,470
8118000,598,432
9684000,606,531
10829000,1570,703
8951000,592,322
8686000,468,299
9669000,385,578
11701000,1610,639
11220000,1700,644
11987000,1540,656
11605000,1420,718
10888000,1660,840
8305000,495,467
8081000,476,407
9867000,567,539
10254000,1730,706
11617000,1560,668
10270000,1700,769
9923000,462,298
11884000,8730,742
11434000,2990,741
10316000,1500,766
11874000,1420,631
11775000,1740,681
9762000,600,466
8741000,463,353
9197000,480,532
11553000,1260,573
11071000,1700,667
8102000,474,428
10344000,1530,682
10450000,1410,729
11378000,1400,722
8049000,519,439
10364000,1700,741
8841000,557,467
11777000,1610,762
10987000,1410,730
8831000,539,433
8707000,632,558
8193000,588,365
10790000,1640,773
11876000,1300,701
11688000,1750,731
10948000,1680,638
11923000,1620,862
10671000,1810,941
9716000,628,336
9160000,531,403
8410000,475,384
10343000,1550,644
11278000,1630,791
10717000,1720,948
9980000,426,457
9165000,477,418
11677000,1090,690
10230000,466,339
11409000,1430,709
10752000,1730,702
8487000,585,486
10161000,1420,614
9995000,411,421
9631000,601,394
10984000,1430,719
8699000,451,476
8644000,612,490
9514000,550,553
10454000,1180,851
10176000,470,404
11393000,1620,679
8424000,665,487
8988000,511,367
9211000,608,490
11000000,1710,792
8898000,490,381
8344000,880,524
10653000,1830,692
